,state,pct_black,hispanic,pct_free,reduced,Country1,Country2,local_exp,federal_exp,LP ID,URL,Product Name,Provider/Company Name,Sector(s),Primary Essential Function
0,5.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.546812608597396,9.680344001221918,13117.0,https://www.splashmath.com,SplashLearn,StudyPad Inc.,PreK-12,LC - Digital Learning Platforms
1,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,66933.0,https://abcmouse.com,ABCmouse.com,"Age of Learning, Inc ",PreK-12,LC - Digital Learning Platforms
2,19.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,50479.0,https://www.abcya.com,ABCya!,"ABCya.com, LLC",PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
3,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,92993.0,http://www.aleks.com/,ALEKS,McGraw-Hill PreK-12,PreK-12; Higher Ed,LC - Digital Learning Platforms
4,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,73104.0,https://www.achieve3000.com/,Achieve3000,Achieve3000,PreK-12,LC - Digital Learning Platforms
5,22.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,37600.0,http://www.activelylearn.com/,Actively Learn,Actively Learn,PreK-12,LC - Digital Learning Platforms
6,19.0,0.0,-1.6094379124341003,0.4,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,18663.0,http://www.adaptedmind.com,AdaptedMind,GloWorld,PreK-12,LC - Digital Learning Platforms
7,14.0,0.4472135954999579,-0.916290731874155,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,65131.0,http://www.amplify.com/,Amplify,"Amplify Education, Inc.",PreK-12,LC - Courseware & Textbooks
8,19.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,26491.0,http://www.answers.com/,Answers,Answers,PreK-12; Higher Ed,LC - Study Tools - Q&A
9,14.0,0.6324555320336759,-0.5108256237659907,0.6,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,56441.0,http://www.audible.com,Audible,"Amazon.com, Inc. ",PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services"
10,10.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-33572868438855.062,0.005100200071153044,9.210340371976184,9.392661928770137,89802.0,http://bartleby.com/,Bartleby,Bartleby,PreK-12; Higher Ed,LC - Study Tools
11,21.0,0.6324555320336759,-0.5108256237659907,0.4,0.49797297297297366,-58858165002496.625,0.0,9.392661928770137,9.546812608597396,72703.0,http://betterlesson.com/,Better Lesson,BetterLesson,PreK-12; Higher Ed,CM - Teacher Resources - Professional Learning
12,2.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,76889.0,https://www.blackboard.com/,Blackboard,Blackboard Inc,PreK-12; Higher Ed,SDO - Learning Management Systems (LMS)
13,7.0,0.0,-1.6094379124341003,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.554212212007455,9.682406981171667,49563.0,https://bookcreator.com/,Book Creator,"Tools for Schools, Inc. (Book Creator)",PreK-12,LC - Content Creation & Curation
14,13.0,0.0,-1.6094379124341003,0.2,0.4,-33572868438855.062,0.005100200071153044,9.554212212007455,9.682406981171667,55589.0,http://www.brainpop.com/,BrainPOP,BrainPOP LLC,PreK-12,LC - Digital Learning Platforms
15,19.0,0.4472135954999579,-0.916290731874155,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,84652.0,http://www.ck12.org,CK-12,CK-12 Foundation,PreK-12,LC - Digital Learning Platforms
16,6.0,0.8944271909999159,0.0,0.8,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,16633.0,http://www.cnn.com/cnn10,CNN Student News,Cable News Network,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference"
17,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,47364.0,https://www.canvas.net/,Canvas,"Instructure, Inc. ",PreK-12; Higher Ed; Corporate,LC - Online Course Providers & Technical Skills Development
18,5.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.392661928770137,9.546812608597396,50104.0,http://www.chegg.com/,Chegg,Chegg,PreK-12; Higher Ed,LC - Study Tools
19,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,47267.0,http://www.classdojo.com/,ClassDojo,"ClassDojo, Inc.",PreK-12,CM - Classroom Engagement & Instruction - Communication & Messaging
20,5.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,76649.0,https://clever.com/,Clever,Clever,PreK-12,SDO - School Management Software - SSO
21,19.0,0.0,-1.6094379124341003,0.4,0.49797297297297366,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,96116.0,http://www.cliffsnotes.com,CliffsNotes,Houghton Mifflin Harcourt,PreK-12; Higher Ed,LC - Study Tools
